VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:1024	0.126000	0.115000	1.095652	0.126000	1.000000	0.126000	1.000000	0.126000	1.000000	0.126000	1.000000	0.113000	1.115044	0.126000	1.000000	0.126000	1.000000	0.176000	0.715909	0.174000	0.724138	0.256000	0.492188
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:4096	0.630000	0.582000	1.082474	0.630000	1.000000	0.635000	0.992126	0.635000	0.992126	0.636000	0.990566	0.565000	1.115044	0.627000	1.004785	0.636000	0.990566	0.771000	0.817121	0.764000	0.824607	1.000000	0.630000
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:16384	3.030000	3.010000	1.006645	3.020000	1.003311	3.030000	1.000000	3.030000	1.000000	3.030000	1.000000	3.000000	1.010000	3.020000	1.003311	3.030000	1.000000	3.090000	0.980583	3.040000	0.996711	3.990000	0.759398
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:32768	6.030000	6.000000	1.005000	6.030000	1.000000	6.030000	1.000000	6.030000	1.000000	6.030000	1.000000	6.020000	1.001661	6.030000	1.000000	6.030000	1.000000	6.160000	0.978896	6.070000	0.993410	7.970000	0.756587
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:1024	0.981000	0.979000	1.002043	0.979000	1.002043	0.981000	1.000000	1.030000	0.952427	1.030000	0.952427	0.979000	1.002043	0.980000	1.001020	0.980000	1.001020	0.915000	1.072131	0.920000	1.066304	0.922000	1.063991
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:4096	3.640000	3.630000	1.002755	3.620000	1.005525	3.630000	1.002755	3.830000	0.950392	3.830000	0.950392	3.630000	1.002755	3.630000	1.002755	3.630000	1.002755	3.540000	1.028249	3.560000	1.022472	3.570000	1.019608
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:16384	14.700000	14.700000	1.000000	14.700000	1.000000	14.700000	1.000000	15.700000	0.936306	15.700000	0.936306	14.700000	1.000000	14.700000	1.000000	14.700000	1.000000	14.700000	1.000000	14.700000	1.000000	14.700000	1.000000
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:32768	29.300000	29.300000	1.000000	29.300000	1.000000	29.300000	1.000000	31.400000	0.933121	31.400000	0.933121	29.300000	1.000000	29.300000	1.000000	29.300000	1.000000	29.300000	1.000000	29.400000	0.996599	29.400000	0.996599
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:1024	0.364000	0.290000	1.255172	0.291000	1.250859	0.282000	1.290780	0.282000	1.290780	0.291000	1.250859	0.248000	1.467742	0.295000	1.233898	0.320000	1.137500	0.383000	0.950392	0.424000	0.858491	0.349000	1.042980
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:4096	1.630000	1.390000	1.172662	1.400000	1.164286	1.300000	1.253846	1.300000	1.253846	1.390000	1.172662	1.310000	1.244275	1.380000	1.181159	1.460000	1.116438	1.540000	1.058442	1.710000	0.953216	1.540000	1.058442
