binfhe-ginx

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
FHEW_BTKEYGEN/MEDIUM	4081273.000000	4105513.000000	0.994096	4239526.000000	0.962672	4062312.000000	1.004668	4224478.000000	0.966101	4615550.000000	0.884244	4681191.000000	0.871845	4306206.000000	0.947765	4045260.000000	1.008903	4143539.000000	0.984973	3818423.000000	1.068837	3899135.000000	1.046712
FHEW_BTKEYGEN/STD128	2061358.000000	2083301.000000	0.989467	2151437.000000	0.958131	2046541.000000	1.007240	2132940.000000	0.966440	2323186.000000	0.887298	2361783.000000	0.872797	2176906.000000	0.946921	2045351.000000	1.007826	1914445.000000	1.076739	1748419.000000	1.178984	1787090.000000	1.153472
FHEW_ENCRYPT/MEDIUM	11.500000	11.700000	0.982906	12.200000	0.942623	11.500000	1.000000	12.200000	0.942623	13.400000	0.858209	13.600000	0.845588	12.300000	0.934959	11.500000	1.000000	12.700000	0.905512	11.400000	1.008772	11.700000	0.982906
FHEW_ENCRYPT/STD128	13.700000	13.900000	0.985612	14.300000	0.958042	13.600000	1.007353	14.400000	0.951389	15.900000	0.861635	16.000000	0.856250	14.500000	0.944828	13.600000	1.007353	15.100000	0.907285	13.600000	1.007353	13.800000	0.992754
FHEW_NOT/MEDIUM	0.173000	0.170000	1.017647	0.169000	1.023669	0.175000	0.988571	0.173000	1.000000	0.176000	0.982955	0.167000	1.035928	0.174000	0.994253	0.172000	1.005814	0.203000	0.852217	0.213000	0.812207	0.206000	0.839806
FHEW_NOT/STD128	0.182000	0.181000	1.005525	0.178000	1.022472	0.183000	0.994536	0.181000	1.005525	0.187000	0.973262	0.173000	1.052023	0.182000	1.000000	0.181000	1.005525	0.217000	0.838710	0.228000	0.798246	0.220000	0.827273
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	16450.000000	16495.000000	0.997272	16893.000000	0.973776	16675.000000	0.986507	16641.000000	0.988522	16714.000000	0.984205	16048.000000	1.025050	27275.000000	0.603116	27638.000000	0.595195	22144.000000	0.742865	21826.000000	0.753688	22635.000000	0.726751
FHEW_BINGATE/MEDIUM_AND	16489.000000	16756.000000	0.984065	17014.000000	0.969143	16717.000000	0.986361	16619.000000	0.992178	16871.000000	0.977358	16196.000000	1.018091	27511.000000	0.599360	27976.000000	0.589398	22266.000000	0.740546	22158.000000	0.744156	22811.000000	0.722853
FHEW_BINGATE/MEDIUM_NOR	16513.000000	16410.000000	1.006277	17186.000000	0.960840	17142.000000	0.963306	16813.000000	0.982157	16868.000000	0.978954	16252.000000	1.016060	27528.000000	0.599862	27718.000000	0.595750	22135.000000	0.746013	22164.000000	0.745037	22875.000000	0.721880
FHEW_BINGATE/MEDIUM_NAND	16469.000000	16501.000000	0.998061	16858.000000	0.976925	16939.000000	0.972253	16947.000000	0.971794	16917.000000	0.973518	16122.000000	1.021523	27438.000000	0.600226	27839.000000	0.591580	22333.000000	0.737429	22218.000000	0.741246	22949.000000	0.717635
