binfhe-lmkcdey

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
FHEW_BTKEYGEN/MEDIUM	3814250.000000	3847980.000000	0.991234	3980596.000000	0.958211	3797081.000000	1.004522	3958399.000000	0.963584	4332235.000000	0.880435	4422577.000000	0.862450	4036449.000000	0.944952	3760696.000000	1.014240	3930017.000000	0.970543	3683749.000000	1.035426	3756530.000000	1.015365
FHEW_BTKEYGEN/STD128_LMKCDEY	1546221.000000	1567992.000000	0.986115	1624650.000000	0.951726	1534900.000000	1.007376	1606277.000000	0.962612	1760102.000000	0.878484	1798533.000000	0.859712	1640384.000000	0.942597	1528200.000000	1.011792	1513685.000000	1.021495	1402394.000000	1.102558	1440064.000000	1.073717
FHEW_ENCRYPT/MEDIUM	11.600000	11.800000	0.983051	12.200000	0.950820	11.600000	1.000000	12.300000	0.943089	13.500000	0.859259	13.500000	0.859259	12.400000	0.935484	11.600000	1.000000	12.800000	0.906250	11.400000	1.017544	11.700000	0.991453
FHEW_ENCRYPT/STD128_LMKCDEY	12.200000	12.400000	0.983871	12.800000	0.953125	12.200000	1.000000	12.900000	0.945736	14.100000	0.865248	14.300000	0.853147	12.900000	0.945736	12.200000	1.000000	13.500000	0.903704	12.200000	1.000000	12.300000	0.991870
FHEW_NOT/MEDIUM	0.181000	0.177000	1.022599	0.177000	1.022599	0.182000	0.994505	0.178000	1.016854	0.182000	0.994505	0.166000	1.090361	0.187000	0.967914	0.180000	1.005556	0.209000	0.866029	0.216000	0.837963	0.212000	0.853774
FHEW_NOT/STD128_LMKCDEY	0.186000	0.179000	1.039106	0.183000	1.016393	0.186000	1.000000	0.185000	1.005405	0.190000	0.978947	0.187000	0.994652	0.193000	0.963731	0.185000	1.005405	0.214000	0.869159	0.223000	0.834081	0.219000	0.849315
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	16901.000000	17105.000000	0.988074	17433.000000	0.969483	16911.000000	0.999409	17563.000000	0.962307	17403.000000	0.971154	16563.000000	1.020407	27903.000000	0.605705	28227.000000	0.598753	25467.000000	0.663643	25742.000000	0.656553	26377.000000	0.640748
FHEW_BINGATE/MEDIUM_AND	17025.000000	17058.000000	0.998065	17656.000000	0.964261	17134.000000	0.993638	17632.000000	0.965574	17420.000000	0.977325	16871.000000	1.009128	28131.000000	0.605204	28417.000000	0.599113	25863.000000	0.658276	26076.000000	0.652899	26123.000000	0.651725
FHEW_BINGATE/MEDIUM_NOR	17048.000000	17172.000000	0.992779	17680.000000	0.964253	17248.000000	0.988404	17575.000000	0.970014	17368.000000	0.981575	16914.000000	1.007922	28120.000000	0.606259	28240.000000	0.603683	26026.000000	0.655037	25921.000000	0.657691	26217.000000	0.650265
FHEW_BINGATE/MEDIUM_NAND	16901.000000	17155.000000	0.985194	17615.000000	0.959466	17254.000000	0.979541	17649.000000	0.957618	17871.000000	0.945722	16889.000000	1.000711	27862.000000	0.606597	28443.000000	0.594206	25476.000000	0.663409	25826.000000	0.654418	26400.000000	0.640189
FHEW_BINGATE/MEDIUM_XOR	51226.000000	51432.000000	0.995995	53932.000000	0.949826	51969.000000	0.985703	53885.000000	0.950654	52690.000000	0.972215	50525.000000	1.013874	84849.000000	0.603731	85809.000000	0.596977	78428.000000	0.653160	77857.000000	0.657950	79149.000000	0.647210
FHEW_BINGATE/MEDIUM_XNOR	51661.000000	52260.000000	0.988538	53060.000000	0.973634	51460.000000	1.003906	53628.000000	0.963321	52832.000000	0.977835	50911.000000	1.014732	84492.000000	0.611431	85718.000000	0.602686	78319.000000	0.659623	78262.000000	0.660103	80107.000000	0.644900
FHEW_BINGATE/MEDIUM_XOR_FAST	17078.000000	17078.000000	1.000000	17634.000000	0.968470	17153.000000	0.995628	17645.000000	0.967866	17640.000000	0.968141	17100.000000	0.998713	27960.000000	0.610801	28392.000000	0.601507	25720.000000	0.663997	26250.000000	0.650590	26358.000000	0.647925
