VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:1024	0.139000	0.139000	1.000000	0.139000	1.000000	0.139000	1.000000	0.139000	1.000000	0.139000	1.000000	0.148000	0.939189	0.139000	1.000000	0.139000	1.000000	0.200000	0.695000	0.177000	0.785311	0.256000	0.542969
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:4096	0.626000	0.539000	1.161410	0.615000	1.017886	0.626000	1.000000	0.626000	1.000000	0.628000	0.996815	1.260000	0.496825	0.614000	1.019544	0.627000	0.998405	1.160000	0.539655	1.160000	0.539655	1.200000	0.521667
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:16384	3.070000	3.010000	1.019934	3.060000	1.003268	3.070000	1.000000	3.070000	1.000000	3.070000	1.000000	5.490000	0.559199	3.060000	1.003268	3.070000	1.000000	4.670000	0.657388	4.680000	0.655983	4.810000	0.638254
BM_VecVec_ModAddNoCheckEq<NativeVector>/RingDm:32768	6.090000	5.990000	1.016694	6.070000	1.003295	6.090000	1.000000	6.090000	1.000000	6.090000	1.000000	11.000000	0.553636	6.070000	1.003295	6.090000	1.000000	9.340000	0.652034	9.350000	0.651337	9.590000	0.635036
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:1024	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.060000	0.943396	1.050000	0.952381	1.010000	0.990099	1.000000	1.000000	1.000000	1.000000	0.942000	1.061571	0.946000	1.057082	0.947000	1.055966
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:4096	3.720000	3.720000	1.000000	3.720000	1.000000	3.730000	0.997319	3.940000	0.944162	3.940000	0.944162	3.750000	0.992000	3.720000	1.000000	3.720000	1.000000	3.650000	1.019178	3.660000	1.016393	3.660000	1.016393
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:16384	14.800000	14.800000	1.000000	14.800000	1.000000	14.800000	1.000000	15.900000	0.930818	15.900000	0.930818	16.700000	0.886228	14.800000	1.000000	14.800000	1.000000	16.100000	0.919255	16.300000	0.907975	16.200000	0.913580
BM_VecVec_ModMulNoCheckEq<NativeVector>/RingDm:32768	29.600000	29.500000	1.003390	29.500000	1.003390	29.600000	1.000000	31.700000	0.933754	31.700000	0.933754	33.400000	0.886228	29.500000	1.003390	29.500000	1.003390	32.200000	0.919255	32.500000	0.910769	32.400000	0.913580
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:1024	0.373000	0.364000	1.024725	0.352000	1.059659	0.352000	1.059659	0.352000	1.059659	0.352000	1.059659	0.373000	1.000000	0.355000	1.050704	0.356000	1.047753	0.392000	0.951531	0.424000	0.879717	0.394000	0.946701
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:4096	1.790000	1.710000	1.046784	1.700000	1.052941	1.690000	1.059172	1.700000	1.052941	1.700000	1.052941	1.900000	0.942105	1.680000	1.065476	1.680000	1.065476	1.620000	1.104938	1.780000	1.005618	1.620000	1.104938
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:16384	7.240000	7.270000	0.995873	7.280000	0.994505	7.200000	1.005556	7.200000	1.005556	7.200000	1.005556	8.280000	0.874396	7.200000	1.005556	7.210000	1.004161	6.600000	1.096970	7.970000	0.908407	6.600000	1.096970
BM_VecInt_SwitchModulus_Up<NativeVector>/RingDm:32768	14.300000	14.400000	0.993056	14.400000	0.993056	14.200000	1.007042	14.200000	1.007042	14.200000	1.007042	16.500000	0.866667	14.200000	1.007042	14.300000	1.000000	13.800000	1.036232	14.400000	0.993056	13.000000	1.100000
BM_VecInt_SwitchModulus_Down<NativeVector>/RingDm:1024	0.522000	0.538000	0.970260	0.527000	0.990512	0.518000	1.007722	0.538000	0.970260	0.538000	0.970260	0.517000	1.009671	0.528000	0.988636	0.518000	1.007722	0.619000	0.843296	0.619000	0.843296	0.609000	0.857143
BM_VecInt_SwitchModulus_Down<NativeVector>/RingDm:4096	2.300000	2.340000	0.982906	2.340000	0.982906	2.290000	1.004367	2.380000	0.966387	2.380000	0.966387	2.460000	0.934959	2.320000	0.991379	2.280000	1.008772	2.350000	0.978723	2.370000	0.970464	2.370000	0.970464
BM_VecInt_SwitchModulus_Down<NativeVector>/RingDm:16384	9.880000	9.830000	1.005086	10.100000	0.978218	9.710000	1.017508	10.100000	0.978218	10.100000	0.978218	10.800000	0.914815	9.900000	0.997980	9.700000	1.018557	9.480000	1.042194	9.680000	1.020661	9.670000	1.021717
BM_VecInt_SwitchModulus_Down<NativeVector>/RingDm:32768	19.200000	19.600000	0.979592	19.900000	0.964824	19.200000	1.000000	20.000000	0.960000	20.000000	0.960000	21.500000	0.893023	19.600000	0.979592	19.400000	0.989691	18.700000	1.026738	19.900000	0.964824	19.100000	1.005236
BM_VecInt_Mod_Up<NativeVector>/RingDm:1024	0.287000	0.254000	1.129921	0.248000	1.157258	0.248000	1.157258	0.249000	1.152610	0.248000	1.157258	0.315000	0.911111	0.248000	1.157258	0.252000	1.138889	0.277000	1.036101	0.291000	0.986254	0.278000	1.032374
BM_VecInt_Mod_Up<NativeVector>/RingDm:4096	1.260000	1.260000	1.000000	1.260000	1.000000	1.270000	0.992126	1.270000	0.992126	1.260000	1.000000	1.400000	0.900000	1.260000	1.000000	1.270000	0.992126	1.230000	1.024390	1.240000	1.016129	1.240000	1.016129
BM_VecInt_Mod_Up<NativeVector>/RingDm:16384	5.990000	6.180000	0.969256	6.630000	0.903469	6.170000	0.970827	6.150000	0.973984	6.160000	0.972403	7.170000	0.835425	6.180000	0.969256	6.140000	0.975570	6.300000	0.950794	6.400000	0.935937	6.390000	0.937402
BM_VecInt_Mod_Up<NativeVector>/RingDm:32768	12.000000	12.300000	0.975610	12.300000	0.975610	12.300000	0.975610	12.300000	0.975610	12.300000	0.975610	13.500000	0.888889	12.800000	0.937500	12.300000	0.975610	12.700000	0.944882	12.900000	0.930233	12.900000	0.930233
BM_VecInt_Mod_Down<NativeVector>/RingDm:1024	0.440000	0.448000	0.982143	0.453000	0.971302	0.440000	1.000000	0.463000	0.950324	0.464000	0.948276	0.475000	0.926316	0.452000	0.973451	0.445000	0.988764	0.488000	0.901639	0.500000	0.880000	0.501000	0.878244
BM_VecInt_Mod_Down<NativeVector>/RingDm:4096	1.670000	1.680000	0.994048	1.710000	0.976608	1.660000	1.006024	1.760000	0.948864	1.750000	0.954286	1.930000	0.865285	1.700000	0.982353	1.660000	1.006024	1.990000	0.839196	2.080000	0.802885	2.090000	0.799043
BM_VecInt_Mod_Down<NativeVector>/RingDm:16384	7.490000	7.540000	0.993369	7.650000	0.979085	7.470000	1.002677	7.870000	0.951715	7.860000	0.952926	8.630000	0.867903	7.650000	0.979085	7.480000	1.001337	9.000000	0.832222	9.320000	0.803648	9.340000	0.801927
BM_VecInt_Mod_Down<NativeVector>/RingDm:32768	15.100000	16.000000	0.943750	15.400000	0.980519	15.100000	1.000000	15.800000	0.955696	15.800000	0.955696	17.300000	0.872832	15.400000	0.980519	15.900000	0.949686	18.100000	0.834254	18.700000	0.807487	18.800000	0.803191
BM_VecInt_Mod_ModByTwo<NativeVector>/RingDm:1024	0.307000	0.394000	0.779188	0.346000	0.887283	0.307000	1.000000	0.309000	0.993528	0.315000	0.974603	0.322000	0.953416	0.345000	0.889855	0.305000	1.006557	0.375000	0.818667	0.373000	0.823056	0.412000	0.745146
BM_VecInt_Mod_ModByTwo<NativeVector>/RingDm:4096	1.570000	1.790000	0.877095	1.790000	0.877095	1.570000	1.000000	1.580000	0.993671	1.600000	0.981250	1.770000	0.887006	1.760000	0.892045	1.560000	1.006410	1.530000	1.026144	1.540000	1.019481	1.650000	0.951515
BM_VecInt_Mod_ModByTwo<NativeVector>/RingDm:16384	6.790000	7.600000	0.893421	7.610000	0.892247	6.790000	1.000000	6.790000	1.000000	6.850000	0.991241	7.450000	0.911409	7.490000	0.906542	6.790000	1.000000	6.310000	1.076070	6.130000	1.107667	6.780000	1.001475
BM_VecInt_Mod_ModByTwo<NativeVector>/RingDm:32768	13.600000	15.000000	0.906667	15.100000	0.900662	13.400000	1.014925	13.400000	1.014925	13.500000	1.007407	14.800000	0.918919	14.800000	0.918919	13.400000	1.014925	12.400000	1.096774	12.000000	1.133333	12.700000	1.070866
BM_VecInt_ModEq_Up<NativeVector>/RingDm:1024	0.373000	0.364000	1.024725	0.348000	1.071839	0.352000	1.059659	0.352000	1.059659	0.352000	1.059659	0.373000	1.000000	0.352000	1.059659	0.353000	1.056657	0.389000	0.958869	0.424000	0.879717	0.386000	0.966321
BM_VecInt_ModEq_Up<NativeVector>/RingDm:4096	1.780000	1.700000	1.047059	1.710000	1.040936	1.690000	1.053254	1.700000	1.047059	1.700000	1.047059	1.900000	0.936842	1.680000	1.059524	1.680000	1.059524	1.620000	1.098765	1.780000	1.000000	1.620000	1.098765
BM_VecInt_ModEq_Up<NativeVector>/RingDm:16384	7.240000	7.270000	0.995873	7.270000	0.995873	7.200000	1.005556	7.200000	1.005556	7.190000	1.006954	8.250000	0.877576	7.200000	1.005556	7.210000	1.004161	6.600000	1.096970	7.990000	0.906133	6.590000	1.098634
BM_VecInt_ModEq_Up<NativeVector>/RingDm:32768	14.300000	14.400000	0.993056	14.400000	0.993056	14.400000	0.993056	14.200000	1.007042	14.400000	0.993056	16.500000	0.866667	14.200000	1.007042	14.300000	1.000000	13.000000	1.100000	14.400000	0.993056	13.000000	1.100000
BM_VecInt_ModEq_Down<NativeVector>/RingDm:1024	0.518000	0.538000	0.962825	0.521000	0.994242	0.519000	0.998073	0.538000	0.962825	0.539000	0.961039	0.507000	1.021696	0.524000	0.988550	0.522000	0.992337	0.611000	0.847791	0.617000	0.839546	0.611000	0.847791
BM_VecInt_ModEq_Down<NativeVector>/RingDm:4096	2.290000	2.330000	0.982833	2.350000	0.974468	2.300000	0.995652	2.390000	0.958159	2.380000	0.962185	2.450000	0.934694	2.320000	0.987069	2.290000	1.000000	2.340000	0.978632	2.360000	0.970339	2.370000	0.966245
BM_VecInt_ModEq_Down<NativeVector>/RingDm:16384	9.720000	9.850000	0.986802	9.950000	0.976884	9.700000	1.002062	10.100000	0.962376	10.100000	0.962376	10.700000	0.908411	9.880000	0.983806	9.860000	0.985801	9.480000	1.025316	9.680000	1.004132	9.680000	1.004132
BM_VecInt_ModEq_Down<NativeVector>/RingDm:32768	19.200000	19.500000	0.984615	19.700000	0.974619	19.200000	1.000000	20.000000	0.960000	20.000000	0.960000	21.400000	0.897196	19.600000	0.979592	19.200000	1.000000	18.700000	1.026738	19.100000	1.005236	19.100000	1.005236
BM_VecInt_ModEq_ModByTwo<NativeVector>/RingDm:1024	0.305000	0.386000	0.790155	0.346000	0.881503	0.312000	0.977564	0.308000	0.990260	0.315000	0.968254	0.324000	0.941358	0.346000	0.881503	0.304000	1.003289	0.457000	0.667396	0.379000	0.804749	0.379000	0.804749
BM_VecInt_ModEq_ModByTwo<NativeVector>/RingDm:4096	1.570000	1.770000	0.887006	1.770000	0.887006	1.570000	1.000000	1.570000	1.000000	1.600000	0.981250	1.770000	0.887006	1.750000	0.897143	1.560000	1.006410	1.830000	0.857923	1.530000	1.026144	1.530000	1.026144
BM_VecInt_ModEq_ModByTwo<NativeVector>/RingDm:16384	6.790000	7.600000	0.893421	7.570000	0.896962	6.800000	0.998529	6.790000	1.000000	6.850000	0.991241	7.440000	0.912634	7.500000	0.905333	6.790000	1.000000	7.450000	0.911409	6.130000	1.107667	6.300000	1.077778
BM_VecInt_ModEq_ModByTwo<NativeVector>/RingDm:32768	13.400000	15.000000	0.893333	15.200000	0.881579	13.400000	1.000000	13.400000	1.000000	13.500000	0.992593	14.800000	0.905405	14.800000	0.905405	13.400000	1.000000	13.000000	1.030769	12.000000	1.116667	12.400000	1.080645
