binfhe-ginx

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
FHEW_BTKEYGEN/MEDIUM	4132767.000000	4192958.000000	0.985645	4289165.000000	0.963536	4021260.000000	1.027729	4198652.000000	0.984308	4573868.000000	0.903561	4676191.000000	0.883789	4344951.000000	0.951165	4104316.000000	1.006932	4044673.000000	1.021780	3822772.000000	1.081092	3879658.000000	1.065240
FHEW_BTKEYGEN/STD128	2097235.000000	2126273.000000	0.986343	2171583.000000	0.965763	2041679.000000	1.027211	2134742.000000	0.982430	2316036.000000	0.905528	2368322.000000	0.885536	2197752.000000	0.954264	2078454.000000	1.009036	1882208.000000	1.114242	1763498.000000	1.189247	1792148.000000	1.170235
FHEW_ENCRYPT/MEDIUM	11.500000	11.500000	1.000000	12.200000	0.942623	11.300000	1.017699	12.100000	0.950413	13.800000	0.833333	13.500000	0.851852	12.300000	0.934959	11.700000	0.982906	12.700000	0.905512	11.800000	0.974576	11.700000	0.982906
FHEW_ENCRYPT/STD128	13.600000	13.700000	0.992701	14.500000	0.937931	13.400000	1.014925	14.400000	0.944444	16.200000	0.839506	16.000000	0.850000	14.600000	0.931507	14.000000	0.971429	15.100000	0.900662	14.000000	0.971429	13.800000	0.985507
FHEW_NOT/MEDIUM	0.140000	0.141000	0.992908	0.141000	0.992908	0.141000	0.992908	0.140000	1.000000	0.140000	1.000000	0.141000	0.992908	0.141000	0.992908	0.140000	1.000000	0.162000	0.864198	0.155000	0.903226	0.148000	0.945946
FHEW_NOT/STD128	0.176000	0.177000	0.994350	0.176000	1.000000	0.175000	1.005714	0.175000	1.005714	0.175000	1.005714	0.157000	1.121019	0.178000	0.988764	0.176000	1.000000	0.170000	1.035294	0.169000	1.041420	0.164000	1.073171
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	18890.000000	19224.000000	0.982626	19239.000000	0.981860	18885.000000	1.000265	19037.000000	0.992278	19022.000000	0.993061	19486.000000	0.969414	30282.000000	0.623803	30077.000000	0.628055	23632.000000	0.799340	24443.000000	0.772818	24748.000000	0.763294
FHEW_BINGATE/MEDIUM_AND	18894.000000	18594.000000	1.016134	19361.000000	0.975879	18855.000000	1.002068	18548.000000	1.018654	19427.000000	0.972564	19572.000000	0.965359	29668.000000	0.636848	29807.000000	0.633878	22746.000000	0.830652	24747.000000	0.763486	24999.000000	0.755790
FHEW_BINGATE/MEDIUM_NOR	17950.000000	19068.000000	0.941368	19232.000000	0.933340	18141.000000	0.989471	18958.000000	0.946830	19150.000000	0.937337	19499.000000	0.920560	30583.000000	0.586927	30441.000000	0.589665	24649.000000	0.728224	24585.000000	0.730120	24596.000000	0.729793
FHEW_BINGATE/MEDIUM_NAND	18910.000000	19084.000000	0.990882	19111.000000	0.989482	18587.000000	1.017378	18715.000000	1.010419	17107.000000	1.105395	17117.000000	1.104750	28801.000000	0.656574	29334.000000	0.644644	23988.000000	0.788311	24235.000000	0.780276	23749.000000	0.796244
