binfhe-lmkcdey

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	CLANG17-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG16-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG12-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG15-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	CLANG14-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC11-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC10-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup	GCC9-OPENMP-OFF-NATIVEOPT-ON-HEXL-ON	speedup
FHEW_BTKEYGEN/MEDIUM	3870275.000000	3807528.000000	1.016480	4009896.000000	0.965181	3747697.000000	1.032708	3905696.000000	0.990931	4259830.000000	0.908552	4461719.000000	0.867440	4061037.000000	0.953026	3776686.000000	1.024781	3896515.000000	0.993266	3788914.000000	1.021473	3732046.000000	1.037038
FHEW_BTKEYGEN/STD128_LMKCDEY	1578648.000000	1556277.000000	1.014375	1636707.000000	0.964527	1527430.000000	1.033532	1597651.000000	0.988106	1735379.000000	0.909685	1821206.000000	0.866815	1658792.000000	0.951685	1541178.000000	1.024313	1505964.000000	1.048264	1459877.000000	1.081357	1435968.000000	1.099362
FHEW_ENCRYPT/MEDIUM	11.400000	12.800000	0.890625	12.200000	0.934426	11.600000	0.982759	12.100000	0.942149	13.600000	0.838235	13.400000	0.850746	12.200000	0.934426	11.600000	0.982759	12.800000	0.890625	11.400000	1.000000	11.500000	0.991304
FHEW_ENCRYPT/STD128_LMKCDEY	12.100000	13.700000	0.883212	12.900000	0.937984	12.200000	0.991803	12.800000	0.945312	14.200000	0.852113	14.300000	0.846154	13.100000	0.923664	12.300000	0.983740	13.500000	0.896296	12.000000	1.008333	12.100000	1.000000
FHEW_NOT/MEDIUM	0.149000	0.151000	0.986755	0.148000	1.006757	0.148000	1.006757	0.147000	1.013605	0.145000	1.027586	0.190000	0.784211	0.147000	1.013605	0.147000	1.013605	0.166000	0.897590	0.163000	0.914110	0.160000	0.931250
FHEW_NOT/STD128_LMKCDEY	0.158000	0.161000	0.981366	0.161000	0.981366	0.159000	0.993711	0.157000	1.006369	0.159000	0.993711	0.199000	0.793970	0.162000	0.975309	0.158000	1.000000	0.169000	0.934911	0.166000	0.951807	0.162000	0.975309
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	19153.000000	19279.000000	0.993464	19542.000000	0.980094	19710.000000	0.971740	19811.000000	0.966786	19668.000000	0.973815	19675.000000	0.973469	30455.000000	0.628895	30439.000000	0.629226	28213.000000	0.678871	27744.000000	0.690347	28262.000000	0.677694
FHEW_BINGATE/MEDIUM_AND	19179.000000	19390.000000	0.989118	19613.000000	0.977872	19423.000000	0.987438	19693.000000	0.973899	19797.000000	0.968783	19635.000000	0.976776	30836.000000	0.621968	30872.000000	0.621243	28669.000000	0.668980	28286.000000	0.678039	28319.000000	0.677248
FHEW_BINGATE/MEDIUM_NOR	19684.000000	19097.000000	1.030738	19346.000000	1.017471	19562.000000	1.006237	19986.000000	0.984889	19193.000000	1.025582	19836.000000	0.992337	30564.000000	0.644026	30679.000000	0.641612	28238.000000	0.697075	28181.000000	0.698485	28355.000000	0.694199
FHEW_BINGATE/MEDIUM_NAND	19041.000000	19656.000000	0.968712	19262.000000	0.988527	19432.000000	0.979879	19901.000000	0.956786	19840.000000	0.959728	19944.000000	0.954723	30756.000000	0.619099	30685.000000	0.620531	28559.000000	0.666725	28302.000000	0.672779	28471.000000	0.668786
