VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1 

BENCHMARK	CLANG13-OPENMP-OFF	CLANG17-OPENMP-OFF	speedup	CLANG16-OPENMP-OFF	speedup	CLANG12-OPENMP-OFF	speedup	CLANG11-OPENMP-OFF	speedup	CLANG10-OPENMP-OFF	speedup	CLANG9-OPENMP-OFF	speedup	CLANG15-OPENMP-OFF	speedup	CLANG14-OPENMP-OFF	speedup	GCC11-OPENMP-OFF	speedup	GCC10-OPENMP-OFF	speedup	GCC9-OPENMP-OFF	speedup
BM_BigVec_Add<NativeVector>/parm_16:16	0.040000	0.041000	0.975610	0.041000	0.975610	0.047000	0.851064	0.043000	0.930233	0.043000	0.930233	0.048000	0.833333	0.042000	0.952381	0.042000	0.952381	0.054000	0.740741	0.051000	0.784314	0.053000	0.754717
BM_BigVec_Add<NativeVector>/parm_1024:1024	0.256000	0.242000	1.057851	0.255000	1.003922	0.345000	0.742029	0.256000	1.000000	0.259000	0.988417	0.269000	0.951673	0.256000	1.000000	0.257000	0.996109	0.319000	0.802508	0.392000	0.653061	0.401000	0.638404
BM_BigVec_Add<NativeVector>/parm_2048:2048	0.502000	0.481000	1.043659	0.505000	0.994059	0.667000	0.752624	0.503000	0.998012	0.504000	0.996032	0.517000	0.970986	0.500000	1.004000	0.503000	0.998012	0.630000	0.796825	1.020000	0.492157	0.751000	0.668442
BM_BigVec_Add<NativeVector>/parm_4096:4096	1.730000	1.740000	0.994253	1.640000	1.054878	1.780000	0.971910	1.640000	1.054878	1.640000	1.054878	1.550000	1.116129	1.640000	1.054878	1.740000	0.994253	1.850000	0.935135	1.840000	0.940217	1.910000	0.905759
BM_BigVec_Add<NativeVector>/parm_8192:8192	3.220000	3.220000	1.000000	3.230000	0.996904	3.440000	0.936047	3.230000	0.996904	3.230000	0.996904	3.190000	1.009404	3.220000	1.000000	3.230000	0.996904	3.650000	0.882192	3.640000	0.884615	3.740000	0.860963
BM_BigVec_Add<NativeVector>/parm_16384:16384	6.330000	6.320000	1.001582	6.340000	0.998423	6.910000	0.916064	6.340000	0.998423	6.560000	0.964939	6.310000	1.003170	6.340000	0.998423	6.340000	0.998423	7.250000	0.873103	7.570000	0.836196	7.340000	0.862398
BM_BigVec_Add<NativeVector>/parm_32768:32768	13.300000	13.500000	0.985185	13.400000	0.992537	14.900000	0.892617	13.300000	1.000000	13.400000	0.992537	12.500000	1.064000	14.400000	0.923611	13.500000	0.985185	14.500000	0.917241	14.200000	0.936620	14.400000	0.923611
BM_BigVec_Addeq<NativeVector>/parm_16:16	0.005000	0.005000	1.000000	0.005000	1.000000	0.006000	0.833333	0.006000	0.833333	0.006000	0.833333	0.014000	0.357143	0.005000	1.000000	0.005000	1.000000	0.008000	0.625000	0.007000	0.714286	0.008000	0.625000
BM_BigVec_Addeq<NativeVector>/parm_1024:1024	0.128000	0.117000	1.094017	0.128000	1.000000	0.129000	0.992248	0.129000	0.992248	0.129000	0.992248	0.117000	1.094017	0.128000	1.000000	0.128000	1.000000	0.206000	0.621359	0.183000	0.699454	0.262000	0.488550
BM_BigVec_Addeq<NativeVector>/parm_2048:2048	0.252000	0.231000	1.090909	0.252000	1.000000	0.253000	0.996047	0.253000	0.996047	0.253000	0.996047	0.228000	1.105263	0.252000	1.000000	0.252000	1.000000	0.399000	0.631579	0.355000	0.709859	0.510000	0.494118
BM_BigVec_Addeq<NativeVector>/parm_4096:4096	0.644000	0.598000	1.076923	0.641000	1.004680	0.646000	0.996904	0.639000	1.007825	0.640000	1.006250	0.578000	1.114187	0.637000	1.010989	0.646000	0.996904	0.870000	0.740230	0.709000	0.908322	1.010000	0.637624
BM_BigVec_Addeq<NativeVector>/parm_8192:8192	1.520000	1.510000	1.006623	1.520000	1.000000	1.520000	1.000000	1.520000	1.000000	1.520000	1.000000	1.550000	0.980645	1.520000	1.000000	1.520000	1.000000	1.750000	0.868571	1.560000	0.974359	2.010000	0.756219
BM_BigVec_Addeq<NativeVector>/parm_16384:16384	3.030000	3.010000	1.006645	3.030000	1.000000	3.030000	1.000000	3.030000	1.000000	3.030000	1.000000	3.100000	0.977419	3.030000	1.000000	3.030000	1.000000	3.480000	0.870690	3.110000	0.974277	4.000000	0.757500
BM_BigVec_Addeq<NativeVector>/parm_32768:32768	6.030000	6.000000	1.005000	6.030000	1.000000	6.040000	0.998344	6.030000	1.000000	6.030000	1.000000	6.210000	0.971014	6.030000	1.000000	6.030000	1.000000	6.920000	0.871387	6.200000	0.972581	7.970000	0.756587
BM_BigVec_Mult<NativeVector>/parm_16:16	0.059000	0.059000	1.000000	0.058000	1.017241	0.059000	1.000000	0.059000	1.000000	0.060000	0.983333	0.060000	0.983333	0.057000	1.035088	0.058000	1.017241	0.071000	0.830986	0.071000	0.830986	0.071000	0.830986
BM_BigVec_Mult<NativeVector>/parm_1024:1024	0.457000	0.455000	1.004396	0.456000	1.002193	0.456000	1.002193	0.459000	0.995643	0.460000	0.993478	0.458000	0.997817	0.458000	0.997817	0.456000	1.002193	0.474000	0.964135	0.476000	0.960084	0.470000	0.972340
BM_BigVec_Mult<NativeVector>/parm_2048:2048	0.839000	0.838000	1.001193	0.841000	0.997622	0.838000	1.001193	0.847000	0.990555	0.843000	0.995255	0.841000	0.997622	0.839000	1.000000	0.841000	0.997622	0.868000	0.966590	1.000000	0.839000	0.854000	0.982436
BM_BigVec_Mult<NativeVector>/parm_4096:4096	1.950000	2.110000	0.924171	1.820000	1.071429	1.820000	1.071429	1.830000	1.065574	1.820000	1.071429	1.830000	1.065574	1.820000	1.071429	2.110000	0.924171	1.850000	1.054054	1.840000	1.059783	1.830000	1.065574
BM_BigVec_Mult<NativeVector>/parm_8192:8192	4.190000	4.200000	0.997619	4.190000	1.000000	4.210000	0.995249	4.210000	0.995249	4.200000	0.997619	4.200000	0.997619	4.370000	0.958810	4.190000	1.000000	4.770000	0.878407	4.250000	0.985882	4.200000	0.997619
BM_BigVec_Mult<NativeVector>/parm_16384:16384	8.230000	8.200000	1.003659	8.210000	1.002436	8.210000	1.002436	8.210000	1.002436	8.210000	1.002436	8.190000	1.004884	8.200000	1.003659	8.210000	1.002436	8.310000	0.990373	8.310000	0.990373	8.190000	1.004884
BM_BigVec_Mult<NativeVector>/parm_32768:32768	16.500000	16.500000	1.000000	16.500000	1.000000	16.200000	1.018519	16.200000	1.018519	16.200000	1.018519	16.200000	1.018519	17.000000	0.970588	16.800000	0.982143	16.400000	1.006098	16.600000	0.993976	16.200000	1.018519
BM_BigVec_Multeq<NativeVector>/parm_16:16	0.016000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.016000	1.000000	0.017000	0.941176	0.016000	1.000000	0.016000	1.000000
BM_BigVec_Multeq<NativeVector>/parm_1024:1024	0.313000	0.312000	1.003205	0.315000	0.993651	0.313000	1.000000	0.314000	0.996815	0.314000	0.996815	0.313000	1.000000	0.315000	0.993651	0.315000	0.993651	0.320000	0.978125	0.327000	0.957187	0.313000	1.000000
BM_BigVec_Multeq<NativeVector>/parm_2048:2048	0.621000	0.621000	1.000000	0.623000	0.996790	0.621000	1.000000	0.622000	0.998392	0.622000	0.998392	0.621000	1.000000	0.623000	0.996790	0.623000	0.996790	0.634000	0.979495	0.640000	0.970313	0.617000	1.006483
BM_BigVec_Multeq<NativeVector>/parm_4096:4096	1.260000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.260000	1.000000	1.280000	0.984375	1.290000	0.976744	1.260000	1.000000
BM_BigVec_Multeq<NativeVector>/parm_8192:8192	2.550000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.550000	1.000000	2.620000	0.973282	2.630000	0.969582	2.570000	0.992218
BM_BigVec_Multeq<NativeVector>/parm_16384:16384	5.090000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.090000	1.000000	5.220000	0.975096	5.230000	0.973231	5.130000	0.992203
BM_BigVec_Multeq<NativeVector>/parm_32768:32768	10.200000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.200000	1.000000	10.500000	0.971429	10.400000	0.980769	10.200000	1.000000
BM_BigVec_Add<M4Vector>/parm_16:16	0.971000	1.040000	0.933654	1.020000	0.951961	0.957000	1.014629	0.977000	0.993859	0.971000	1.000000	1.030000	0.942718	1.100000	0.882727	1.010000	0.961386	1.070000	0.907477	1.130000	0.859292	1.020000	0.951961
BM_BigVec_Add<M4Vector>/parm_1024:1024	84.000000	90.800000	0.925110	90.500000	0.928177	84.200000	0.997625	84.300000	0.996441	86.100000	0.975610	86.700000	0.968858	91.900000	0.914037	90.400000	0.929204	90.300000	0.930233	93.200000	0.901288	86.100000	0.975610
BM_BigVec_Add<M4Vector>/parm_2048:2048	171.000000	183.000000	0.934426	183.000000	0.934426	172.000000	0.994186	171.000000	1.000000	174.000000	0.982759	178.000000	0.960674	187.000000	0.914439	183.000000	0.934426	182.000000	0.939560	186.000000	0.919355	175.000000	0.977143
BM_BigVec_Add<M4Vector>/parm_4096:4096	345.000000	369.000000	0.934959	368.000000	0.937500	345.000000	1.000000	346.000000	0.997110	349.000000	0.988539	356.000000	0.969101	377.000000	0.915119	364.000000	0.947802	369.000000	0.934959	374.000000	0.922460	351.000000	0.982906
BM_BigVec_Add<M4Vector>/parm_8192:8192	690.000000	741.000000	0.931174	737.000000	0.936228	694.000000	0.994236	695.000000	0.992806	703.000000	0.981508	715.000000	0.965035	754.000000	0.915119	738.000000	0.934959	738.000000	0.934959	749.000000	0.921228	706.000000	0.977337
BM_BigVec_Add<M4Vector>/parm_16384:16384	1386.000000	1483.000000	0.934592	1474.000000	0.940299	1393.000000	0.994975	1389.000000	0.997840	1398.000000	0.991416	1438.000000	0.963839	1504.000000	0.921543	1465.000000	0.946075	1477.000000	0.938389	1500.000000	0.924000	1415.000000	0.979505
BM_BigVec_Add<M4Vector>/parm_32768:32768	2768.000000	2978.000000	0.929483	2951.000000	0.937987	2782.000000	0.994968	2780.000000	0.995683	2830.000000	0.978092	2876.000000	0.962448	3018.000000	0.917164	2937.000000	0.942458	2949.000000	0.938623	3013.000000	0.918686	2826.000000	0.979476
BM_BigVec_Addeq<M4Vector>/parm_16:16	0.812000	0.894000	0.908277	0.921000	0.881650	0.812000	1.000000	0.802000	1.012469	0.831000	0.977136	0.836000	0.971292	0.934000	0.869379	0.920000	0.882609	0.898000	0.904232	0.922000	0.880694	0.844000	0.962085
BM_BigVec_Addeq<M4Vector>/parm_1024:1024	55.900000	61.200000	0.913399	60.900000	0.917898	55.900000	1.000000	56.000000	0.998214	56.300000	0.992895	56.400000	0.991135	62.900000	0.888712	61.000000	0.916393	60.600000	0.922442	63.600000	0.878931	57.900000	0.965458
BM_BigVec_Addeq<M4Vector>/parm_2048:2048	112.000000	122.000000	0.918033	126.000000	0.888889	112.000000	1.000000	112.000000	1.000000	113.000000	0.991150	113.000000	0.991150	130.000000	0.861538	122.000000	0.918033	121.000000	0.925620	126.000000	0.888889	116.000000	0.965517
BM_BigVec_Addeq<M4Vector>/parm_4096:4096	224.000000	245.000000	0.914286	244.000000	0.918033	223.000000	1.004484	225.000000	0.995556	226.000000	0.991150	229.000000	0.978166	253.000000	0.885375	244.000000	0.918033	243.000000	0.921811	251.000000	0.892430	232.000000	0.965517
BM_BigVec_Addeq<M4Vector>/parm_8192:8192	448.000000	490.000000	0.914286	490.000000	0.914286	449.000000	0.997773	449.000000	0.997773	453.000000	0.988962	451.000000	0.993348	505.000000	0.887129	491.000000	0.912424	487.000000	0.919918	502.000000	0.892430	464.000000	0.965517
BM_BigVec_Addeq<M4Vector>/parm_16384:16384	897.000000	983.000000	0.912513	1003.000000	0.894317	896.000000	1.001116	903.000000	0.993355	905.000000	0.991160	908.000000	0.987885	1013.000000	0.885489	975.000000	0.920000	976.000000	0.919057	1003.000000	0.894317	929.000000	0.965554
BM_BigVec_Addeq<M4Vector>/parm_32768:32768	1792.000000	1962.000000	0.913354	2018.000000	0.888008	1799.000000	0.996109	1810.000000	0.990055	1808.000000	0.991150	1809.000000	0.990603	2029.000000	0.883194	1957.000000	0.915687	1967.000000	0.911032	2011.000000	0.891099	1861.000000	0.962923
BM_BigVec_Mult<M4Vector>/parm_16:16	1.930000	1.840000	1.048913	1.910000	1.010471	1.800000	1.072222	1.870000	1.032086	1.780000	1.084270	1.890000	1.021164	1.980000	0.974747	1.950000	0.989744	1.950000	0.989744	1.830000	1.054645	1.810000	1.066298
BM_BigVec_Mult<M4Vector>/parm_1024:1024	132.000000	129.000000	1.023256	133.000000	0.992481	126.000000	1.047619	127.000000	1.039370	126.000000	1.047619	128.000000	1.031250	134.000000	0.985075	135.000000	0.977778	134.000000	0.985075	129.000000	1.023256	127.000000	1.039370
BM_BigVec_Mult<M4Vector>/parm_2048:2048	263.000000	257.000000	1.023346	265.000000	0.992453	250.000000	1.052000	253.000000	1.039526	250.000000	1.052000	256.000000	1.027344	268.000000	0.981343	269.000000	0.977695	268.000000	0.981343	256.000000	1.027344	254.000000	1.035433
