binfhe-ginx

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1 

BENCHMARK	CLANG13-OPENMP-OFF	CLANG17-OPENMP-OFF	speedup	CLANG16-OPENMP-OFF	speedup	CLANG12-OPENMP-OFF	speedup	CLANG11-OPENMP-OFF	speedup	CLANG10-OPENMP-OFF	speedup	CLANG9-OPENMP-OFF	speedup	CLANG15-OPENMP-OFF	speedup	CLANG14-OPENMP-OFF	speedup	GCC11-OPENMP-OFF	speedup	GCC10-OPENMP-OFF	speedup	GCC9-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	4049318.000000	4132096.000000	0.979967	4297258.000000	0.942303	4058731.000000	0.997681	4283559.000000	0.945316	4625079.000000	0.875513	4674928.000000	0.866178	4324501.000000	0.936367	4069460.000000	0.995050	4142998.000000	0.977388	3854480.000000	1.050548	3909129.000000	1.035862
FHEW_BTKEYGEN/STD128	2044506.000000	2088716.000000	0.978834	2164122.000000	0.944728	2045905.000000	0.999316	2157788.000000	0.947501	2335114.000000	0.875549	2356282.000000	0.867683	2191767.000000	0.932812	2054881.000000	0.994951	1911951.000000	1.069330	1767460.000000	1.156748	1794652.000000	1.139221
FHEW_ENCRYPT/MEDIUM	12.000000	11.600000	1.034483	12.000000	1.000000	11.400000	1.052632	11.900000	1.008403	13.600000	0.882353	13.500000	0.888889	12.200000	0.983607	11.500000	1.043478	13.200000	0.909091	11.600000	1.034483	11.900000	1.008403
FHEW_ENCRYPT/STD128	14.200000	13.800000	1.028986	14.200000	1.000000	13.500000	1.051852	14.100000	1.007092	16.200000	0.876543	16.100000	0.881988	14.500000	0.979310	13.600000	1.044118	15.700000	0.904459	13.700000	1.036496	14.100000	1.007092
FHEW_NOT/MEDIUM	0.173000	0.169000	1.023669	0.170000	1.017647	0.173000	1.000000	0.173000	1.000000	0.174000	0.994253	0.167000	1.035928	0.170000	1.017647	0.185000	0.935135	0.203000	0.852217	0.193000	0.896373	0.203000	0.852217
FHEW_NOT/STD128	0.182000	0.179000	1.016760	0.178000	1.022472	0.182000	1.000000	0.182000	1.000000	0.184000	0.989130	0.168000	1.083333	0.178000	1.022472	0.196000	0.928571	0.219000	0.831050	0.206000	0.883495	0.217000	0.838710
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	16407.000000	16506.000000	0.994002	16692.000000	0.982926	16414.000000	0.999574	16729.000000	0.980752	16795.000000	0.976898	16051.000000	1.022179	27717.000000	0.591947	27540.000000	0.595752	22248.000000	0.737460	22020.000000	0.745095	22821.000000	0.718943
FHEW_BINGATE/MEDIUM_AND	16556.000000	16779.000000	0.986710	16665.000000	0.993459	16691.000000	0.991912	17000.000000	0.973882	16969.000000	0.975662	16325.000000	1.014150	27787.000000	0.595818	27795.000000	0.595647	22425.000000	0.738283	22174.000000	0.746640	22985.000000	0.720296
FHEW_BINGATE/MEDIUM_NOR	16534.000000	16584.000000	0.996985	16653.000000	0.992854	16644.000000	0.993391	16818.000000	0.983113	16816.000000	0.983230	16331.000000	1.012430	27893.000000	0.592765	27762.000000	0.595562	22392.000000	0.738389	22219.000000	0.744138	22851.000000	0.723557
FHEW_BINGATE/MEDIUM_NAND	16441.000000	16570.000000	0.992215	16898.000000	0.972955	16428.000000	1.000791	16821.000000	0.977409	16819.000000	0.977525	16167.000000	1.016948	27979.000000	0.587619	27709.000000	0.593345	22460.000000	0.732012	22239.000000	0.739287	23091.000000	0.712009
