binfhe-lmkcdey

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1 

BENCHMARK	CLANG13-OPENMP-OFF	CLANG17-OPENMP-OFF	speedup	CLANG16-OPENMP-OFF	speedup	CLANG12-OPENMP-OFF	speedup	CLANG11-OPENMP-OFF	speedup	CLANG10-OPENMP-OFF	speedup	CLANG9-OPENMP-OFF	speedup	CLANG15-OPENMP-OFF	speedup	CLANG14-OPENMP-OFF	speedup	GCC11-OPENMP-OFF	speedup	GCC10-OPENMP-OFF	speedup	GCC9-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	3784510.000000	3870589.000000	0.977761	3946785.000000	0.958884	3793738.000000	0.997568	3983964.000000	0.949936	4330890.000000	0.873841	4451692.000000	0.850128	4034800.000000	0.937967	3812798.000000	0.992581	3991944.000000	0.948037	3700843.000000	1.022608	3770536.000000	1.003706
FHEW_BTKEYGEN/STD128_LMKCDEY	1534703.000000	1573791.000000	0.975163	1609851.000000	0.953320	1535019.000000	0.999794	1621058.000000	0.946729	1758421.000000	0.872773	1809217.000000	0.848269	1641982.000000	0.934665	1546436.000000	0.992413	1538087.000000	0.997800	1407683.000000	1.090233	1446557.000000	1.060935
FHEW_ENCRYPT/MEDIUM	11.900000	11.700000	1.017094	12.100000	0.983471	11.500000	1.034783	12.100000	0.983471	13.700000	0.868613	13.400000	0.888060	12.300000	0.967480	11.600000	1.025862	13.200000	0.901515	11.500000	1.034783	11.600000	1.025862
FHEW_ENCRYPT/STD128_LMKCDEY	12.600000	12.300000	1.024390	12.700000	0.992126	12.100000	1.041322	12.700000	0.992126	14.400000	0.875000	14.300000	0.881119	12.800000	0.984375	12.200000	1.032787	13.700000	0.919708	12.300000	1.024390	12.300000	1.024390
FHEW_NOT/MEDIUM	0.183000	0.177000	1.033898	0.174000	1.051724	0.182000	1.005495	0.178000	1.028090	0.178000	1.028090	0.166000	1.102410	0.178000	1.028090	0.178000	1.028090	0.211000	0.867299	0.207000	0.884058	0.210000	0.871429
FHEW_NOT/STD128_LMKCDEY	0.191000	0.180000	1.061111	0.181000	1.055249	0.189000	1.010582	0.186000	1.026882	0.185000	1.032432	0.177000	1.079096	0.183000	1.043716	0.182000	1.049451	0.209000	0.913876	0.210000	0.909524	0.212000	0.900943
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	16925.000000	17138.000000	0.987571	17049.000000	0.992727	17099.000000	0.989824	17385.000000	0.973540	17316.000000	0.977420	16639.000000	1.017189	28246.000000	0.599200	28097.000000	0.602377	25877.000000	0.654056	25996.000000	0.651062	25992.000000	0.651162
FHEW_BINGATE/MEDIUM_AND	16991.000000	17216.000000	0.986931	16934.000000	1.003366	17128.000000	0.992001	17661.000000	0.962063	17433.000000	0.974646	16751.000000	1.014328	28160.000000	0.603374	28011.000000	0.606583	25601.000000	0.663685	26119.000000	0.650523	26481.000000	0.641630
FHEW_BINGATE/MEDIUM_NOR	16916.000000	17201.000000	0.983431	17073.000000	0.990804	17429.000000	0.970566	17749.000000	0.953068	17350.000000	0.974986	16947.000000	0.998171	28314.000000	0.597443	28027.000000	0.603561	25928.000000	0.652422	25627.000000	0.660085	26486.000000	0.638677
FHEW_BINGATE/MEDIUM_NAND	17055.000000	17228.000000	0.989958	16959.000000	1.005661	17301.000000	0.985781	17510.000000	0.974015	17231.000000	0.989786	16963.000000	1.005424	28454.000000	0.599388	28085.000000	0.607264	26235.000000	0.650086	26017.000000	0.655533	26514.000000	0.643245
FHEW_BINGATE/MEDIUM_XOR	17343.000000	17119.000000	1.013085	17065.000000	1.016291	17165.000000	1.010370	17871.000000	0.970455	17465.000000	0.993015	16950.000000	1.023186	28138.000000	0.616355	28059.000000	0.618090	26208.000000	0.661745	25919.000000	0.669123	26882.000000	0.645153
FHEW_BINGATE/MEDIUM_XNOR	16829.000000	17372.000000	0.968743	17133.000000	0.982256	17190.000000	0.978999	17600.000000	0.956193	17478.000000	0.962868	16937.000000	0.993623	28573.000000	0.588983	28054.000000	0.599879	26149.000000	0.643581	25616.000000	0.656972	26233.000000	0.641520
FHEW_BINGATE/STD128_LMKCDEY_OR/min_time:10.000	17999.000000	18227.000000	0.987491	18311.000000	0.982961	18336.000000	0.981621	18760.000000	0.959435	18714.000000	0.961793	18124.000000	0.993103	29777.000000	0.604460	29923.000000	0.601511	27297.000000	0.659376	27507.000000	0.654343	27673.000000	0.650417
