VectorMath-hexl

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
BM_BigVec_Add<NativeVector>/parm_16:16	0.021000	0.041000	0.512195
BM_BigVec_Add<NativeVector>/parm_1024:1024	0.256000	0.258000	0.992248
BM_BigVec_Add<NativeVector>/parm_2048:2048	0.496000	0.746000	0.664879
BM_BigVec_Add<NativeVector>/parm_4096:4096	1.530000	1.650000	0.927273
BM_BigVec_Add<NativeVector>/parm_8192:8192	3.260000	3.420000	0.953216
BM_BigVec_Add<NativeVector>/parm_16384:16384	6.230000	6.340000	0.982650
BM_BigVec_Add<NativeVector>/parm_32768:32768	11.900000	12.600000	0.944444
BM_BigVec_Addeq<NativeVector>/parm_16:16	0.005000	0.005000	1.000000
BM_BigVec_Addeq<NativeVector>/parm_1024:1024	0.129000	0.128000	1.007812
BM_BigVec_Addeq<NativeVector>/parm_2048:2048	0.255000	0.252000	1.011905
BM_BigVec_Addeq<NativeVector>/parm_4096:4096	0.610000	0.730000	0.835616
BM_BigVec_Addeq<NativeVector>/parm_8192:8192	1.520000	1.530000	0.993464
BM_BigVec_Addeq<NativeVector>/parm_16384:16384	3.030000	3.050000	0.993443
BM_BigVec_Addeq<NativeVector>/parm_32768:32768	6.030000	6.060000	0.995050
BM_BigVec_Mult<NativeVector>/parm_16:16	0.072000	0.059000	1.220339
BM_BigVec_Mult<NativeVector>/parm_1024:1024	3.270000	0.458000	7.139738
BM_BigVec_Mult<NativeVector>/parm_2048:2048	6.500000	1.080000	6.018519
BM_BigVec_Mult<NativeVector>/parm_4096:4096	13.500000	1.810000	7.458564
BM_BigVec_Mult<NativeVector>/parm_8192:8192	27.300000	4.200000	6.500000
BM_BigVec_Mult<NativeVector>/parm_16384:16384	54.400000	8.180000	6.650367
BM_BigVec_Mult<NativeVector>/parm_32768:32768	109.000000	16.200000	6.728395
BM_BigVec_Multeq<NativeVector>/parm_16:16	0.058000	0.016000	3.625000
BM_BigVec_Multeq<NativeVector>/parm_1024:1024	3.170000	0.315000	10.063492
BM_BigVec_Multeq<NativeVector>/parm_2048:2048	6.330000	0.624000	10.144231
BM_BigVec_Multeq<NativeVector>/parm_4096:4096	12.700000	1.260000	10.079365
BM_BigVec_Multeq<NativeVector>/parm_8192:8192	27.000000	2.550000	10.588235
BM_BigVec_Multeq<NativeVector>/parm_16384:16384	53.900000	5.090000	10.589391
BM_BigVec_Multeq<NativeVector>/parm_32768:32768	108.000000	10.200000	10.588235
BM_BigVec_Add<M4Vector>/parm_16:16	0.949000	0.945000	1.004233
BM_BigVec_Add<M4Vector>/parm_1024:1024	84.200000	84.300000	0.998814
BM_BigVec_Add<M4Vector>/parm_2048:2048	172.000000	172.000000	1.000000
BM_BigVec_Add<M4Vector>/parm_4096:4096	347.000000	344.000000	1.008721
BM_BigVec_Add<M4Vector>/parm_8192:8192	696.000000	694.000000	1.002882
BM_BigVec_Add<M4Vector>/parm_16384:16384	1395.000000	1389.000000	1.004320
BM_BigVec_Add<M4Vector>/parm_32768:32768	2783.000000	2790.000000	0.997491
BM_BigVec_Addeq<M4Vector>/parm_16:16	0.816000	0.812000	1.004926
BM_BigVec_Addeq<M4Vector>/parm_1024:1024	56.100000	56.200000	0.998221
BM_BigVec_Addeq<M4Vector>/parm_2048:2048	112.000000	112.000000	1.000000
BM_BigVec_Addeq<M4Vector>/parm_4096:4096	226.000000	223.000000	1.013453
BM_BigVec_Addeq<M4Vector>/parm_8192:8192	449.000000	447.000000	1.004474
BM_BigVec_Addeq<M4Vector>/parm_16384:16384	902.000000	895.000000	1.007821
BM_BigVec_Addeq<M4Vector>/parm_32768:32768	1800.000000	1794.000000	1.003344
BM_BigVec_Mult<M4Vector>/parm_16:16	1.870000	1.970000	0.949239
BM_BigVec_Mult<M4Vector>/parm_1024:1024	130.000000	135.000000	0.962963
BM_BigVec_Mult<M4Vector>/parm_2048:2048	259.000000	268.000000	0.966418
BM_BigVec_Mult<M4Vector>/parm_4096:4096	517.000000	536.000000	0.964552
BM_BigVec_Mult<M4Vector>/parm_8192:8192	1030.000000	1073.000000	0.959925
BM_BigVec_Mult<M4Vector>/parm_16384:16384	2064.000000	2141.000000	0.964035
BM_BigVec_Mult<M4Vector>/parm_32768:32768	4127.000000	4281.000000	0.964027
BM_BigVec_Multeq<M4Vector>/parm_16:16	1.590000	1.640000	0.969512
BM_BigVec_Multeq<M4Vector>/parm_1024:1024	100.000000	104.000000	0.961538
BM_BigVec_Multeq<M4Vector>/parm_2048:2048	200.000000	208.000000	0.961538
BM_BigVec_Multeq<M4Vector>/parm_4096:4096	402.000000	415.000000	0.968675
BM_BigVec_Multeq<M4Vector>/parm_8192:8192	809.000000	833.000000	0.971188
BM_BigVec_Multeq<M4Vector>/parm_16384:16384	1615.000000	1667.000000	0.968806
BM_BigVec_Multeq<M4Vector>/parm_32768:32768	3231.000000	3337.000000	0.968235
