binfhe-ginx

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	4103180.000000	4039062.000000	1.015874
FHEW_BTKEYGEN/STD128	2160864.000000	2141349.000000	1.009113
FHEW_ENCRYPT/MEDIUM	13.300000	12.600000	1.055556
FHEW_ENCRYPT/STD128	15.700000	15.000000	1.046667
FHEW_NOT/MEDIUM	0.137000	0.175000	0.782857
FHEW_NOT/STD128	0.159000	0.189000	0.841270
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	59444.000000	16118.000000	3.688051
FHEW_BINGATE/MEDIUM_AND	59427.000000	16301.000000	3.645605
FHEW_BINGATE/MEDIUM_NOR	59527.000000	16408.000000	3.627925
FHEW_BINGATE/MEDIUM_NAND	59340.000000	16300.000000	3.640491
FHEW_BINGATE/MEDIUM_XOR	59365.000000	16250.000000	3.653231
FHEW_BINGATE/MEDIUM_XNOR	58846.000000	16202.000000	3.632021
FHEW_BINGATE/STD128_OR/min_time:10.000	70372.000000	19675.000000	3.576722
FHEW_BINGATE/STD128_AND	70578.000000	19939.000000	3.539696
FHEW_BINGATE/STD128_NOR	70871.000000	19863.000000	3.567991
FHEW_BINGATE/STD128_NAND	70585.000000	19767.000000	3.570850
FHEW_BINGATE/STD128_XOR	71085.000000	19848.000000	3.581469
FHEW_BINGATE/STD128_XNOR	71463.000000	19612.000000	3.643841
FHEW_KEYSWITCH/MEDIUM/min_time:1.000	482.000000	515.000000	0.935922
FHEW_KEYSWITCH/STD128/min_time:1.000	789.000000	864.000000	0.913194
