binfhe-lmkcdey

CPU Model Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
g++ version (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
clang version version 10.0.0-4ubuntu1

BENCHMARK	CLANG13-OPENMP-OFF-HEXL-OFF	CLANG13-OPENMP-OFF	speedup
FHEW_BTKEYGEN/MEDIUM	3807950.000000	3762073.000000	1.012195
FHEW_BTKEYGEN/STD128_LMKCDEY	1621373.000000	1606169.000000	1.009466
FHEW_ENCRYPT/MEDIUM	13.200000	12.500000	1.056000
FHEW_ENCRYPT/STD128_LMKCDEY	14.000000	13.200000	1.060606
FHEW_NOT/MEDIUM	0.138000	0.191000	0.722513
FHEW_NOT/STD128_LMKCDEY	0.137000	0.194000	0.706186
FHEW_BINGATE/MEDIUM_OR/min_time:10.000	57268.000000	18273.000000	3.134023
FHEW_BINGATE/MEDIUM_AND	57040.000000	18321.000000	3.113367
FHEW_BINGATE/MEDIUM_NOR	57241.000000	18454.000000	3.101821
FHEW_BINGATE/MEDIUM_NAND	57424.000000	18639.000000	3.080852
FHEW_BINGATE/MEDIUM_XOR	56802.000000	18232.000000	3.115511
FHEW_BINGATE/MEDIUM_XNOR	58021.000000	18040.000000	3.216242
FHEW_BINGATE/STD128_LMKCDEY_OR/min_time:10.000	63366.000000	21152.000000	2.995745
FHEW_BINGATE/STD128_LMKCDEY_AND	64073.000000	21402.000000	2.993786
FHEW_BINGATE/STD128_LMKCDEY_NOR	64819.000000	21343.000000	3.037014
FHEW_BINGATE/STD128_LMKCDEY_NAND	64306.000000	21293.000000	3.020054
FHEW_BINGATE/STD128_LMKCDEY_XOR	64701.000000	21333.000000	3.032907
FHEW_BINGATE/STD128_LMKCDEY_XNOR	64425.000000	21600.000000	2.982639
FHEW_KEYSWITCH/MEDIUM/min_time:1.000	485.000000	453.000000	1.070640
FHEW_KEYSWITCH/STD128_LMKCDEY/min_time:1.000	738.000000	831.000000	0.888087
